producers,4,6,51@0
FBIS3-26,1,false,false
FBIS3-35,1,false,false
FBIS3-23,2,false,false
FBIS3-29,2,false,false
COMBINE,1,1,51@5
FBIS3-26,1,false,false
theories,1,1,51@7
FBIS3-5,1,false,false
10-27,1,1,51@9
FBIS3-46,1,false,false
deterrent,1,1,51@11
FBIS3-27,1,false,false
recouped,1,1,51@13
FBIS3-29,1,false,false
cold-rolled,1,3,51@15
FBIS3-23,3,false,false
remains,4,10,51@17
FBIS3-46,2,false,false
FBIS3-27,2,false,false
FBIS3-29,4,false,false
FBIS3-7,2,false,false
IDF,1,1,51@22
FBIS3-25,1,false,false
features,4,6,51@24
FBIS3-14,2,false,false
FBIS3-2,1,false,false
FBIS3-35,1,false,false
FBIS3-29,2,false,false
shoot,1,1,51@29
FBIS3-29,1,false,false
2.118K,1,1,51@31
FBIS3-29,1,false,false
pre,1,1,51@33
FBIS3-29,1,false,false
judgments,1,3,51@35
FBIS3-23,3,false,false
KIER,1,1,51@37
FBIS3-35,1,false,false
dares,1,1,51@39
FBIS3-28,1,false,false
arbitration,1,2,51@41
FBIS3-6,2,false,false
alia,1,1,51@43
FBIS3-3,1,false,false
ROBERTA,1,3,51@45
FBIS3-35,3,false,false
21 M Dollars,1,1,51@47
FBIS3-29,1,false,false
spaces,1,1,51@49
FBIS3-26,1,false,false
30000 M Dollars,1,3,51@51
FBIS3-23,3,false,false
YAMBURG,1,2,51@53
FBIS3-29,2,false,false
pharmacies,1,1,51@55
FBIS3-29,1,false,false
contentious,1,1,51@57
FBIS3-40,1,false,false
POLGRAF,1,1,51@59
FBIS3-29,1,false,false
hydroelectric,2,3,51@61
FBIS3-11,1,false,false
FBIS3-29,2,false,false
dollar-buying,1,1,51@64
FBIS3-29,1,false,false
INFORMATION DISPUTES,2,2,51@66
FBIS3-14,1,false,true
FBIS3-6,1,false,true
TAIWANESE,2,7,51@69
FBIS3-29,2,false,false
FBIS3-23,5,false,false
attitudes,4,4,51@72
FBIS3-1,1,false,false
FBIS3-26,1,false,false
FBIS3-14,1,false,false
FBIS3-29,1,false,false
3.414K,1,1,51@77
FBIS3-8,1,false,false
1989-1994,1,1,51@79
FBIS3-23,1,false,false
tissue,2,3,51@81
FBIS3-35,1,false,false
FBIS3-29,2,false,false
multi-ethnic,1,1,51@84
FBIS3-2,1,false,false
60,000 Dollars,1,1,51@86
FBIS3-29,1,false,false
amnesty,3,67,51@88
FBIS3-15,2,false,false
FBIS3-32,64,false,false
FBIS3-24,1,false,false
cast,7,8,51@92
FBIS3-26,1,false,false
FBIS3-27,1,false,false
FBIS3-37,1,false,false
FBIS3-38,2,false,false
FBIS3-5,1,false,false
FBIS3-7,1,false,false
