FIC,1,8,26@0
FBIS3-6,8,false,false
studied,2,2,26@2
FBIS3-27,1,false,false
FBIS3-18,1,false,false
re-elected,1,1,26@5
FBIS3-27,1,false,false
explosive,1,1,26@7
FBIS3-11,1,false,false
sufferers,1,1,26@9
FBIS3-12,1,false,false
290 M Dollars,1,1,26@11
FBIS3-29,1,false,false
rupture,2,2,26@13
FBIS3-9,1,false,false
FBIS3-31,1,false,false
introduced,3,7,26@16
FBIS3-13,1,false,false
FBIS3-29,2,false,false
FBIS3-23,4,false,false
marginalized,1,1,26@20
FBIS3-4,1,false,false
exacerbating,1,1,26@22
FBIS3-42,1,false,false
ten,5,9,26@24
FBIS3-1,1,false,false
FBIS3-18,1,false,false
FBIS3-5,1,false,false
FBIS3-35,3,false,false
FBIS3-23,3,false,false
AHMAD,2,2,26@30
FBIS3-34,1,false,false
FBIS3-39,1,false,false
airport,2,4,26@33
FBIS3-29,2,false,false
FBIS3-39,2,false,false
exposure,2,4,26@36
FBIS3-26,1,false,false
FBIS3-5,3,false,false
encountering,2,2,26@39
FBIS3-31,1,false,false
FBIS3-27,1,false,false
warming,1,1,26@42
FBIS3-29,1,false,false
firmly,1,1,26@44
FBIS3-36,1,false,false
chapter,1,1,26@46
FBIS3-35,1,false,false
STETSKIV,1,1,26@48
FBIS3-38,1,false,false
collectives,2,4,26@50
FBIS3-38,3,false,false
FBIS3-23,1,false,false
ridiculed,1,2,26@53
FBIS3-3,2,false,false
turn,5,7,26@55
FBIS3-48,2,false,false
FBIS3-27,1,false,false
FBIS3-28,1,false,false
FBIS3-49,1,false,false
FBIS3-29,2,false,false
123K,1,2,26@61
FBIS3-29,2,false,false
CRIMMINS QUESTIONS,2,2,26@63
FBIS3-24,1,false,true
FBIS3-6,1,false,true
BAGHDAD,1,7,26@66
FBIS3-48,7,false,false
secretly,1,1,26@68
FBIS3-28,1,false,false
sets,3,11,26@70
FBIS3-29,6,false,false
FBIS3-37,1,false,false
FBIS3-23,4,false,false
highlighted,1,1,26@74
FBIS3-27,1,false,false
self-decision-making,1,1,26@76
FBIS3-23,1,false,false
CL,5,5,26@78
FBIS3-31,1,false,false
FBIS3-19,1,false,false
FBIS3-20,1,false,false
FBIS3-35,1,false,false
FBIS3-21,1,false,false
GIMENO,1,2,26@84
FBIS3-26,2,false,false
TUAREGS,1,4,26@86
FBIS3-4,4,false,false
securitization,1,2,26@88
FBIS3-23,2,false,false
characterize,2,2,26@90
FBIS3-46,1,false,false
FBIS3-39,1,false,false
ridiculous,1,1,26@93
FBIS3-19,1,false,false
turbulent,1,1,26@95
FBIS3-11,1,false,false
emerge,3,3,26@97
FBIS3-42,1,false,false
FBIS3-32,1,false,false
FBIS3-19,1,false,false
subsidiaries,2,6,26@101
FBIS3-35,1,false,false
FBIS3-23,5,false,false
DA,1,1,26@104
FBIS3-23,1,false,false
NIKI,1,1,26@106
FBIS3-23,1,false,false
state-regulated,1,1,26@108
FBIS3-44,1,false,false
belonging,2,3,26@110
FBIS3-29,2,false,false
FBIS3-23,1,false,false
changers,1,1,26@113
FBIS3-29,1,false,false
dubious,1,1,26@115
FBIS3-15,1,false,false
implement,5,8,26@117
FBIS3-26,1,false,false
FBIS3-48,1,false,false
FBIS3-5,1,false,false
FBIS3-23,4,false,false
FBIS3-7,1,false,false
shouldered,1,1,26@123
FBIS3-34,1,false,false
add,5,6,26@125
FBIS3-29,1,false,false
FBIS3-26,2,false,false
FBIS3-14,1,false,false
FBIS3-31,1,false,false
FBIS3-23,1,false,false
sectors,7,25,26@131
FBIS3-43,3,false,false
FBIS3-44,1,false,false
FBIS3-26,3,false,false
FBIS3-18,1,false,false
FBIS3-21,1,false,false
FBIS3-23,5,false,false
FBIS3-29,11,false,false
320B,1,1,26@139
FBIS3-29,1,false,false
6.1 M Dollars,1,1,26@141
FBIS3-29,1,false,false
KOSTADIN,1,1,26@143
FBIS3-29,1,false,false
buildings,3,4,26@145
FBIS3-29,2,false,false
FBIS3-4,1,false,false
FBIS3-35,1,false,false
preserving,3,3,26@149
FBIS3-25,1,false,false
FBIS3-27,1,false,false
FBIS3-32,1,false,false
HERZEG-BOSNA,1,1,26@153
FBIS3-2,1,false,false
united,1,1,26@155
FBIS3-36,1,false,false
703-733-6473,1,1,26@157
FBIS3-26,1,false,false
peaceful,2,3,26@159
FBIS3-4,1,false,false
FBIS3-37,2,false,false
authorship,1,1,26@162
FBIS3-23,1,false,false
minilauncher,1,2,26@164
FBIS3-35,2,false,false
320 M Dollars,1,1,26@166
FBIS3-23,1,false,false
MOVEMENT,1,1,26@168
FBIS3-1,1,false,false
humiliation,1,1,26@170
FBIS3-45,1,false,false
fails,1,2,26@172
FBIS3-48,2,false,false
enj,1,1,26@174
FBIS3-2,1,false,false
733-64O8,1,1,26@176
FBIS3-19,1,false,false
extradition,1,1,26@178
FBIS3-19,1,false,false
quarters,1,1,26@180
FBIS3-29,1,false,false
TOCHIGI,1,3,26@182
FBIS3-23,3,false,false
IZMALKOV,1,1,26@184
FBIS3-27,1,false,false
43rd,1,1,26@186
FBIS3-27,1,false,false
environment,4,11,26@188
FBIS3-26,1,false,false
FBIS3-35,3,false,false
FBIS3-29,6,false,false
FBIS3-23,1,false,false
complaint,4,4,26@193
FBIS3-47,1,false,false
FBIS3-49,1,false,false
FBIS3-21,1,false,false
FBIS3-38,1,false,false
BALKANCAR,1,1,26@198
FBIS3-29,1,false,false
folio,1,1,26@200
FBIS3-15,1,false,false
exempt,1,3,26@202
FBIS3-29,3,false,false
2.604K,1,1,26@204
FBIS3-2,1,false,false
1993-04,5,11,26@206
FBIS3-29,1,false,false
FBIS3-26,1,false,false
FBIS3-27,7,false,false
FBIS3-4,1,false,false
FBIS3-35,1,false,false
freeway,1,2,26@212
FBIS3-29,2,false,false
named,4,8,26@214
FBIS3-14,4,false,false
FBIS3-18,2,false,false
FBIS3-38,1,false,false
FBIS3-23,1,false,false
105K,1,2,26@219
FBIS3-29,2,false,false
part-time,3,13,26@221
FBIS3-26,10,false,false
FBIS3-14,2,false,false
FBIS3-23,1,false,false
FRY,1,11,26@225
FBIS3-36,11,false,false
nad,1,3,26@227
FBIS3-29,3,false,false
KOSOVA,1,1,26@229
FBIS3-2,1,false,false
150-kilogram,1,1,26@231
FBIS3-35,1,false,false
UKRAINIANIZING,1,1,26@233
FBIS3-27,1,false,false
conceded,2,2,26@235
FBIS3-29,1,false,false
FBIS3-7,1,false,false
40%,4,14,26@238
FBIS3-1,1,false,false
FBIS3-35,1,false,false
FBIS3-29,10,false,false
FBIS3-23,2,false,false
60.4%,1,1,26@243
FBIS3-29,1,false,false
unhappy,2,2,26@245
FBIS3-23,1,false,false
FBIS3-5,1,false,false
winner,2,2,26@248
FBIS3-29,1,false,false
FBIS3-38,1,false,false
643,1,1,26@251
FBIS3-38,1,false,false
reaffirmed,4,5,26@253
FBIS3-26,1,false,false
FBIS3-9,2,false,false
FBIS3-11,1,false,false
