unacceptable,3,3,10@0
FBIS3-9,1,false,false
FBIS3-19,1,false,false
FBIS3-36,1,false,false
undermined,1,1,10@4
FBIS3-15,1,false,false
BONOVA,1,1,10@6
FBIS3-29,1,false,false
insurgent,1,1,10@8
FBIS3-41,1,false,false
recommends,1,2,10@10
FBIS3-23,2,false,false
articles,9,22,10@12
FBIS3-27,1,false,false
FBIS3-19,1,false,false
FBIS3-2,8,false,false
FBIS3-4,2,false,false
FBIS3-35,5,false,false
FBIS3-23,1,false,false
FBIS3-29,1,false,false
FBIS3-6,1,false,false
FBIS3-45,2,false,false
TAIWAN-HONG,1,1,10@22
FBIS3-23,1,false,false
98B,1,1,10@24
FBIS3-26,1,false,false
brothers,1,2,10@26
FBIS3-45,2,false,false
astronaut,1,1,10@28
FBIS3-35,1,false,false
3.33 M Dollars,1,1,10@30
FBIS3-23,1,false,false
STEEL,1,1,10@32
FBIS3-35,1,false,false
convinced,5,7,10@34
FBIS3-26,2,false,false
FBIS3-48,1,false,false
FBIS3-34,1,false,false
FBIS3-28,1,false,false
FBIS3-4,2,false,false
advances,2,2,10@40
FBIS3-26,1,false,false
FBIS3-39,1,false,false
displacement,1,2,10@43
FBIS3-29,2,false,false
weakening,3,3,10@45
FBIS3-27,1,false,false
FBIS3-29,1,false,false
FBIS3-42,1,false,false
URALS,1,1,10@49
FBIS3-46,1,false,false
four-fifths,1,1,10@51
FBIS3-29,1,false,false
exceeded,2,11,10@53
FBIS3-29,7,false,false
FBIS3-23,4,false,false
ALBANIAN-ITALIAN,1,1,10@56
FBIS3-29,1,false,false
31st,1,1,10@58
FBIS3-11,1,false,false
metal,1,3,10@60
FBIS3-35,3,false,false
appreciation,1,1,10@62
FBIS3-23,1,false,false
JOHN,1,5,10@64
FBIS3-35,5,false,false
removing,2,2,10@66
FBIS3-46,1,false,false
FBIS3-27,1,false,false
resulting,4,4,10@69
FBIS3-35,1,false,false
FBIS3-23,1,false,false
FBIS3-7,1,false,false
FBIS3-8,1,false,false
heavy,3,4,10@74
FBIS3-29,1,false,false
FBIS3-27,2,false,false
FBIS3-23,1,false,false
hoping,3,3,10@78
FBIS3-48,1,false,false
FBIS3-5,1,false,false
FBIS3-7,1,false,false
overfulfilled,1,1,10@82
FBIS3-23,1,false,false
deflect,2,2,10@84
FBIS3-32,1,false,false
FBIS3-35,1,false,false
invalid,2,4,10@87
FBIS3-31,1,false,false
FBIS3-38,3,false,false
BUDAPEST-NEW,1,2,10@90
FBIS3-29,2,false,false
legitimate,1,1,10@92
FBIS3-48,1,false,false
alkyl,1,2,10@94
FBIS3-23,2,false,false
882M,1,2,10@96
FBIS3-29,2,false,false
STEPHEN,1,3,10@98
FBIS3-35,3,false,false
laundry,1,1,10@100
FBIS3-23,1,false,false
slump,1,2,10@102
FBIS3-23,2,false,false
incidents,2,2,10@104
FBIS3-24,1,false,false
FBIS3-5,1,false,false
belief,1,1,10@107
FBIS3-19,1,false,false
side,8,20,10@109
FBIS3-30,1,false,false
FBIS3-26,1,false,false
FBIS3-9,1,false,false
FBIS3-49,1,false,false
FBIS3-22,1,false,false
FBIS3-35,1,false,false
FBIS3-29,12,false,false
FBIS3-23,2,false,false
