TERNOPIL,1,4,40@0
FBIS3-38,4,false,false
recommendation,1,3,40@2
FBIS3-23,3,false,false
NBS,1,1,40@4
FBIS3-29,1,false,false
dispatched,1,1,40@6
FBIS3-29,1,false,false
large,13,48,40@8
FBIS3-38,4,false,false
FBIS3-39,1,false,false
FBIS3-23,15,false,false
FBIS3-11,1,false,false
FBIS3-26,4,false,false
FBIS3-29,10,false,false
FBIS3-18,1,false,false
FBIS3-45,1,false,false
FBIS3-27,2,false,false
FBIS3-32,4,false,false
FBIS3-28,1,false,false
FBIS3-35,3,false,false
FBIS3-6,1,false,false
SCANIA,1,3,40@22
FBIS3-29,3,false,false
belt,1,1,40@24
FBIS3-23,1,false,false
KCNA,4,8,40@26
FBIS3-13,3,false,false
FBIS3-3,2,false,false
FBIS3-31,1,false,false
FBIS3-37,2,false,false
entanglements,1,1,40@31
FBIS3-11,1,false,false
YONG-SAM,2,2,40@33
FBIS3-22,1,false,false
FBIS3-23,1,false,false
disputes,5,29,40@36
FBIS3-42,4,false,false
FBIS3-31,1,false,false
FBIS3-35,1,false,false
FBIS3-23,21,false,false
FBIS3-6,2,false,false
hoteliers,1,1,40@42
FBIS3-29,1,false,false
BALTIC,1,1,40@44
FBIS3-29,1,false,false
ophthalmologists,1,1,40@46
FBIS3-29,1,false,false
unpleasant,2,2,40@48
FBIS3-24,1,false,false
FBIS3-20,1,false,false
non-foods,1,1,40@51
FBIS3-29,1,false,false
installations,1,1,40@53
FBIS3-29,1,false,false
eventually,8,11,40@55
FBIS3-29,2,false,false
FBIS3-13,1,false,false
FBIS3-44,1,false,false
FBIS3-30,1,false,false
FBIS3-27,1,false,false
FBIS3-28,1,false,false
FBIS3-34,2,false,false
FBIS3-23,2,false,false
emerged,3,3,40@64
FBIS3-29,1,false,false
FBIS3-23,1,false,false
FBIS3-32,1,false,false
finishing,1,1,40@68
FBIS3-46,1,false,false
hydride,1,1,40@70
FBIS3-35,1,false,false
ESA,1,3,40@72
FBIS3-35,3,false,false
inquiry,2,5,40@74
FBIS3-29,2,false,false
FBIS3-32,3,false,false
50/36,1,1,40@77
FBIS3-1,1,false,false
fissure,1,1,40@79
FBIS3-48,1,false,false
twenty,1,1,40@81
FBIS3-23,1,false,false
abstracts,2,5,40@83
FBIS3-35,4,false,false
FBIS3-29,1,false,false
implementing,4,6,40@86
FBIS3-23,1,false,false
FBIS3-48,1,false,false
FBIS3-32,3,false,false
FBIS3-6,1,false,false
willingness,7,10,40@91
FBIS3-39,1,false,false
FBIS3-41,1,false,false
FBIS3-46,2,false,false
FBIS3-30,3,false,false
FBIS3-49,1,false,false
FBIS3-36,1,false,false
FBIS3-37,1,false,false
FR1.4,1,1,40@99
FBIS3-26,1,false,false
NEF,2,6,40@101
FBIS3-29,4,false,false
FBIS3-26,2,false,false
ARMENIAN,1,1,40@104
FBIS3-27,1,false,false
multimedia,1,1,40@106
FBIS3-35,1,false,false
07-27,1,4,40@108
FBIS3-27,4,false,false
1,2,1,1,40@110
FBIS3-29,1,false,false
2.2%,1,2,40@112
FBIS3-35,2,false,false
improvements,1,1,40@114
FBIS3-29,1,false,false
kilobars,1,1,40@116
FBIS3-35,1,false,false
dimensional,1,3,40@118
FBIS3-35,3,false,false
unsymmetrical,1,1,40@120
FBIS3-35,1,false,false
importing,1,1,40@122
FBIS3-23,1,false,false
stands,3,3,40@124
FBIS3-39,1,false,false
FBIS3-29,1,false,false
FBIS3-35,1,false,false
confused,1,2,40@128
FBIS3-32,2,false,false
circulating,1,1,40@130
FBIS3-32,1,false,false
150-million,1,1,40@132
FBIS3-23,1,false,false
adequacy,1,2,40@134
FBIS3-29,2,false,false
limit,9,11,40@136
FBIS3-24,1,false,false
FBIS3-8,1,false,false
FBIS3-40,1,false,false
FBIS3-43,2,false,false
FBIS3-3,1,false,false
FBIS3-45,1,false,false
FBIS3-48,1,false,false
FBIS3-21,1,false,false
FBIS3-29,2,false,false
logo,1,1,40@146
FBIS3-29,1,false,false
selected,6,14,40@148
FBIS3-26,1,false,false
FBIS3-29,4,false,false
FBIS3-47,1,false,false
FBIS3-20,3,false,false
FBIS3-35,1,false,false
FBIS3-23,4,false,false
JAWAMI,1,1,40@155
FBIS3-19,1,false,false
motivated,3,3,40@157
FBIS3-41,1,false,false
FBIS3-47,1,false,false
FBIS3-27,1,false,false
disruption,1,1,40@161
FBIS3-9,1,false,false
DIBIS,1,1,40@163
FBIS3-19,1,false,false
pressure,14,31,40@165
FBIS3-8,2,false,false
FBIS3-9,1,false,false
FBIS3-13,1,false,false
FBIS3-26,4,false,false
FBIS3-44,4,false,false
